genus,1210-MG,1211-MG,1212-MG,1213-MG,1214-MG,1215-MG,1216-MG,1217-MG,551-MG,552-MG,553-MG,554-MG,555-MG,556-MG,557-MG,900-MG,901-MG,902-MG,903-MG,904-MG,905-MG,906-MG,907-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Enemella,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Enemella
Microlunatus,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Microlunatus
Naumannella,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Naumannella
Propioniciclava,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Propioniciclava
Tessaracoccus,0,0,0,0,0,0,0,0,40,0,0,0,66,0,0,0,0,0,0,0,3,0,0,109,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Tessaracoccus
Actinomycetospora,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora
Goodfellowiella,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Goodfellowiella
Pseudonocardia,0,4,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
Saccharopolyspora,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora
Streptomyces,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,51,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces
Nocardiopsis,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptosporangiales;Nocardiopsaceae;Nocardiopsis
Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,Bacteria,Bacteria_none,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella
Gaiella,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Bacteria,Bacteria_none,Actinobacteria,Rubrobacteria,Gaiellales,Gaiellaceae,Bacteria;Bacteria_none;Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella
Rubrobacter,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,Bacteria,Bacteria_none,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Bacteria;Bacteria_none;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter
Parviterribacter,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Bacteria,Bacteria_none,Actinobacteria,Thermoleophilia,Solirubrobacterales,Parviterribacteraceae,Bacteria;Bacteria_none;Actinobacteria;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter
Solirubrobacter,50,103,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,Bacteria,Bacteria_none,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Bacteria;Bacteria_none;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter
Phocaeicola,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola
Flavisolibacter,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter
Flavitalea,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea
Hydrobacter,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Hydrobacter
Paracnuella,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Paracnuella
Phnomibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Phnomibacter
Pseudocnuella,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Pseudocnuella
Sediminibacterium,0,0,0,0,55,0,0,30,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7,96,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium
Terrimonas,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas
Algoriphagus,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus
Chryseosolibacter,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Chryseosolibacter
