genus,1062-MG,1082-MG,1202-MG,1313-MG,481-MG,482-MG,581-MG,640-MG,644A-MG,713-MG,726-MG,728-MG,729-MG,730-MG,731-MG,734-MG,741-MG,769-MG,778-MG,781-MG,809-MG,816-MG,817-MG,936-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Variovorax,0,1,37,0,0,88,0,23,0,0,0,65,0,0,0,0,1,0,0,1,0,127,0,0,343,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
Lysinibacillus,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,81,0,0,101,0,329,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus
Micrococcus,0,27,0,0,0,0,0,0,20,0,0,0,0,58,0,133,0,32,0,22,0,35,0,0,327,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus
Brachybacterium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,0,73,0,0,200,0,320,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium
Pantoea,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,318,Bacteria,none,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
Xanthomonas,65,0,47,0,0,0,0,0,0,0,0,34,0,0,0,0,48,0,0,83,1,40,0,0,318,Bacteria,none,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas
Ornithinimicrobium,0,0,0,0,0,0,0,17,0,0,0,22,0,0,0,176,42,0,0,1,0,29,28,0,315,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Ornithinimicrobiaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium
Exiguobacterium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,163,0,0,0,0,312,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_sedis,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Exiguobacterium
Haemophilus,0,0,8,0,0,0,0,0,0,0,0,28,0,0,0,0,195,20,0,51,0,0,0,0,302,Bacteria,none,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus
Sphaerotilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,268,302,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Sphaerotilus
