tax	1210-MG	1211-MG	1212-MG	1213-MG	1214-MG	1215-MG	1216-MG	1217-MG	551-MG	552-MG	553-MG	554-MG	555-MG	556-MG	557-MG	900-MG	901-MG	902-MG	903-MG	904-MG	905-MG	906-MG	907-MG	total
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella	0	15	6	48	0	0	0	0	0	0	0	5	0	0	0	35	0	0	0	4	0	0	7	120
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Tessaracoccus	0	0	0	0	0	0	0	0	40	0	0	0	66	0	0	0	0	0	0	0	3	0	0	109
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	55	0	0	0	6	0	0	0	108
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus	0	0	5	0	0	0	0	0	0	0	0	0	64	11	0	0	0	0	21	2	0	2	1	106
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	3	32	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Kocuria	31	29	0	20	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	2	2	105
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0	0	27	0	1	0	22	0	0	0	43	0	0	0	0	0	0	0	0	0	0	5	4	102
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia	0	45	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	97
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium	0	0	0	0	55	0	0	30	0	3	0	1	0	0	0	0	0	0	0	0	0	0	7	96
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Exiguobacterium	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Paeniclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	1	0	0	87
